,Jour,c_qu,l_qu,prop_0-14,prop_15-29,prop_30-44,prop_45-59,prop_60-74,prop_75+,nombre_0-14,nombre_15-29,nombre_30-44,nombre_45-59,nombre_60-74,nombre_75+,pop,densite,nombretransport,numquartier,ref,nb_logmt_total,nombre_de_commerce,nombreent,CA 1,nombretrottotal
90,Lundi,2,Halles,11.8,22.1,22.7,20.3,14.9,8.1,1915.0,3592.0,3700.0,3307.0,2429.0,1322.0,16265.0,9863,5,2,25.24374999999999,445,25,732,3652209.62568306,101
91,Lundi,1,Saint-Germain-l'Auxerrois,11.8,22.1,22.7,20.3,14.9,8.1,1915.0,3592.0,3700.0,3307.0,2429.0,1322.0,16265.0,9863,5,1,28.23125000000001,215,4,99,78741306.04040404,89
92,Lundi,32,Europe,15.1,23.7,20.2,18.7,14.8,7.6,5567.0,8734.0,7424.0,6867.0,5433.0,2782.0,36807.0,10147,12,32,27.590625,415,35,1867,7232969.075522227,256
93,Lundi,29,Champs-Elysées,15.1,23.7,20.2,18.7,14.8,7.6,5567.0,8734.0,7424.0,6867.0,5433.0,2782.0,36807.0,10147,8,29,28.231250000000006,14,5,1230,12751576.749593494,190
94,Lundi,31,Madeleine,15.1,23.7,20.2,18.7,14.8,7.6,5567.0,8734.0,7424.0,6867.0,5433.0,2782.0,36807.0,10147,6,31,28.23125000000001,51,24,2296,9846318.880226482,177
95,Lundi,30,Faubourg-du-Roule,15.1,23.7,20.2,18.7,14.8,7.6,5567.0,8734.0,7424.0,6867.0,5433.0,2782.0,36807.0,10147,2,30,28.23125000000001,353,16,2510,6788415.453386454,115
96,Lundi,44,Sainte-Marguerite,12.0,24.7,25.4,17.8,13.6,6.5,17528.0,36257.0,37319.0,26153.0,19910.0,9476.0,146643.0,41341,6,44,25.165624999999995,1605,68,673,1595500.778603269,155
97,Lundi,42,Saint-Ambroise,12.0,24.7,25.4,17.8,13.6,6.5,17528.0,36257.0,37319.0,26153.0,19910.0,9476.0,146643.0,41341,4,42,25.165624999999995,1188,44,518,1452410.4285714286,166
98,Lundi,41,Folie-Méricourt,12.0,24.7,25.4,17.8,13.6,6.5,17528.0,36257.0,37319.0,26153.0,19910.0,9476.0,146643.0,41341,7,41,23.978125,887,31,590,1621806.8423728812,118
99,Lundi,43,Roquette,12.0,24.7,25.4,17.8,13.6,6.5,17528.0,36257.0,37319.0,26153.0,19910.0,9476.0,146643.0,41341,3,43,23.97812499999999,1905,84,702,2161754.9928774927,225
100,Lundi,54,Parc-de-Montsouris,12.6,26.3,19.9,17.2,15.1,8.9,17125.0,35790.0,27094.0,23338.0,20548.0,12068.0,135963.0,23684,3,54,23.978125,1622,7,154,11955361.850649353,89
101,Lundi,53,Montparnasse,12.6,26.3,19.9,17.2,15.1,8.9,17125.0,35790.0,27094.0,23338.0,20548.0,12068.0,135963.0,23684,7,53,25.243749999999995,775,43,352,1270338.2528409092,178
102,Lundi,55,Petit-Montrouge,12.6,26.3,19.9,17.2,15.1,8.9,17125.0,35790.0,27094.0,23338.0,20548.0,12068.0,135963.0,23684,6,55,25.165625,1659,40,409,1640830.1124694378,147
103,Lundi,56,Plaisance,12.6,26.3,19.9,17.2,15.1,8.9,17125.0,35790.0,27094.0,23338.0,20548.0,12068.0,135963.0,23684,5,56,24.468750000000004,3681,72,472,5972834.934322034,218
104,Lundi,57,Saint-Lambert,13.6,24.2,21.4,17.6,14.3,8.9,31728.0,56578.0,49991.0,40968.0,33276.0,20851.0,233392.0,27201,9,57,24.5125,5827,62,808,51494285.37128713,157
105,Lundi,59,Grenelle,13.6,24.2,21.4,17.6,14.3,8.9,31728.0,56578.0,49991.0,40968.0,33276.0,20851.0,233392.0,27201,8,59,25.43124999999999,1116,51,640,11661519.5265625,284
106,Lundi,58,Necker,13.6,24.2,21.4,17.6,14.3,8.9,31728.0,56578.0,49991.0,40968.0,33276.0,20851.0,233392.0,27201,10,58,26.5375,1251,30,611,6405689.387888707,160
107,Lundi,60,Javel,13.6,24.2,21.4,17.6,14.3,8.9,31728.0,56578.0,49991.0,40968.0,33276.0,20851.0,233392.0,27201,12,60,25.43124999999999,2838,35,651,58411653.7265745,272
108,Lundi,6,Vivienne,12.0,26.2,27.3,19.8,10.6,4.1,2510.0,5475.0,5705.0,4147.0,2209.0,854.0,20900.0,21872,2,6,27.140625,19,20,544,5537765.6819852935,88
109,Lundi,5,Gaillon,12.0,26.2,27.3,19.8,10.6,4.1,2510.0,5475.0,5705.0,4147.0,2209.0,854.0,20900.0,21872,2,5,28.23125,5,5,600,6018874.388333334,88
110,Lundi,7,Mail,12.0,26.2,27.3,19.8,10.6,4.1,2510.0,5475.0,5705.0,4147.0,2209.0,854.0,20900.0,21872,0,7,27.140625000000004,323,17,505,6105698.835643563,70
111,Lundi,8,Bonne-Nouvelle,12.0,26.2,27.3,19.8,10.6,4.1,2510.0,5475.0,5705.0,4147.0,2209.0,854.0,20900.0,21872,2,8,27.140625,175,26,504,1708492.2678571432,14
112,Lundi,10,Enfants-Rouges,11.4,25.9,25.2,19.2,12.5,5.8,3894.0,8836.0,8589.0,6535.0,4269.0,1993.0,34116.0,29638,5,10,27.140625,282,28,249,1422401.7951807228,100
113,Lundi,9,Arts-et-Métiers,11.4,25.9,25.2,19.2,12.5,5.8,3894.0,8836.0,8589.0,6535.0,4269.0,1993.0,34116.0,29638,6,9,27.140625,339,21,396,154506241.0151515,41
114,Lundi,11,Archives,11.4,25.9,25.2,19.2,12.5,5.8,3894.0,8836.0,8589.0,6535.0,4269.0,1993.0,34116.0,29638,1,11,27.140625,343,16,294,3023433.0170068033,105
115,Lundi,12,Sainte-Avoie,11.4,25.9,25.2,19.2,12.5,5.8,3894.0,8836.0,8589.0,6535.0,4269.0,1993.0,34116.0,29638,0,12,27.140625000000004,232,16,240,4027418.841666667,43
116,Lundi,24,Saint-Germain-des-Prés,10.2,27.6,16.4,16.9,17.3,11.5,4198.0,11343.0,6752.0,6958.0,7103.0,4745.0,41099.0,21062,2,24,28.23125000000001,104,10,197,2189393.4162436547,76
117,Lundi,21,Monnaie,10.2,27.6,16.4,16.9,17.3,11.5,4198.0,11343.0,6752.0,6958.0,7103.0,4745.0,41099.0,21062,3,21,28.23125,45,30,240,1790548.870833333,100
118,Lundi,22,Odéon,10.2,27.6,16.4,16.9,17.3,11.5,4198.0,11343.0,6752.0,6958.0,7103.0,4745.0,41099.0,21062,1,22,28.231250000000006,55,29,242,1716875.1818181819,208
119,Lundi,23,Notre-Dame-des-Champs,10.2,27.6,16.4,16.9,17.3,11.5,4198.0,11343.0,6752.0,6958.0,7103.0,4745.0,41099.0,21062,8,23,30.190624999999994,489,47,577,2037689.8700173309,313
120,Lundi,37,Saint-Vincent-de-Paul,14.9,23.5,26.7,18.5,11.4,4.9,13476.0,21260.0,24147.0,16749.0,10341.0,4400.0,90373.0,323888,14,37,25.24375,1305,30,525,1868491.5847619048,65
121,Lundi,38,Porte-Saint-Denis,14.9,23.5,26.7,18.5,11.4,4.9,13476.0,21260.0,24147.0,16749.0,10341.0,4400.0,90373.0,323888,5,38,25.243749999999995,666,46,685,5970502.064233578,39
122,Lundi,39,Porte-Saint-Martin,14.9,23.5,26.7,18.5,11.4,4.9,13476.0,21260.0,24147.0,16749.0,10341.0,4400.0,90373.0,323888,3,39,23.978124999999995,967,51,493,2292410.5598377283,89
